Time,ID,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,BetaX,BetaY,BetaZ,AlphaX,AlphaY,AlphaZ,DecisionMargin,Confidence,RScale
1756276796.1453004,0,0.023354816296685392,-0.077048629537705,-0.6045678693950194,-0.9968015977576377,-0.014381789916602605,0.07861131487652394,-0.0585976536775598,0.8004011439413838,-0.596593935403981,-0.05434049770940683,-0.599292226627477,-0.7986838782726084,176.6357008227422,-3.11501550949987,-143.11728041866752,176.6357008227422,-3.11501550949987,-143.11728041866752,90.18821944005818,0.9999999999999996,0.10000000000000142
1756276796.1802588,0,0.02269762954137742,-0.07060411688639424,-0.6019326842864616,-0.9978805617284937,-0.015398588320150005,0.06322395117495361,-0.048308665103796875,0.8262484125379558,-0.5612306421199733,-0.04359652968202373,-0.5630954131017716,-0.8252411152768807,177.2284024271239,-2.4986891041884323,-145.69269957606969,177.2284024271239,-2.4986891041884323,-145.69269957606969,96.82271893375876,0.9999999999999996,0.10000000000000142
1756276796.2103245,0,0.02149898697177634,-0.06552169360438861,-0.5997904634243569,-0.9988232492332759,-0.017939826270323075,0.04505862208803577,-0.038659193539773866,0.855503244784258,-0.5163522682418088,-0.02928452741527692,-0.5174865803061922,-0.8551900699008771,177.78348816529655,-1.6781197388826168,-148.82132480638455,177.78348816529655,-1.6781197388826168,-148.82132480638455,95.61610742676324,0.9999999999999996,0.10000000000000142
1756276796.241376,0,0.02070827174668324,-0.06102144910164981,-0.5891705670088635,-0.9995171778088157,-0.017074481366151806,0.02595907069171955,-0.02744150077467615,0.8769602984921645,-0.47977869784283633,-0.014573101946195481,-0.48025940589915694,-0.877005431992901,178.4273533779073,-0.8350067935126348,-151.29432255189533,178.4273533779073,-0.8350067935126348,-151.29432255189533,91.85921178513578,0.9999999999999996,0.10000000000000142
1756276796.2745721,0,0.021624010126563523,-0.05850897208972396,-0.5872296115795049,-0.9996378374340135,-0.016558643986699963,0.021213327875903087,-0.024238752175582766,0.8964699762081078,-0.44244102957389203,-0.011690888042382563,-0.4427949785925272,-0.8965466692091516,178.6109908306676,-0.6698538030988641,-153.71571791436085,178.6109908306676,-0.6698538030988641,-153.71571791436085,88.6524732569683,0.9999999999999996,0.10000000000000142
1756276796.305956,0,0.021368286480564797,-0.05842875128676654,-0.5822919073400545,-0.9997605084748374,-0.015745235030330675,0.015199120631615274,-0.020662009517476567,0.9079908268013966,-0.4184802740957048,-0.007211591837760443,-0.41869409599175883,-0.9080986988895038,178.8160390159407,-0.41319735745718505,-155.24714532050683,178.8160390159407,-0.41319735745718505,-155.24714532050683,85.66282946760968,0.9999999999999996,0.10000000000000142
1756276796.3352473,0,0.02085938361536626,-0.05551900001497754,-0.5728747930748262,-0.9998870204934108,-0.012390071125061984,0.00851072184513089,-0.014749345591646729,0.9178983657119936,-0.3965413560120424,-0.002898802067657275,-0.39662208254302617,-0.9179774074484651,179.1548905529422,-0.16608935673073524,-156.6327183278401,179.1548905529422,-0.16608935673073524,-156.6327183278401,84.20027346354567,0.9999999999999996,0.10000000000000142
1756276796.3647745,0,0.020380002512016823,-0.051330313994216566,-0.564147655696806,-0.9998842006515497,-0.015016269787189163,0.002469196041236651,-0.014847404959329784,0.9270257666038176,-0.37470359301530365,0.0033376418899244108,-0.3746968637369187,-0.9271413702625569,179.14927036188988,0.1912331488713972,-157.99429261616095,179.14927036188988,0.1912331488713972,-157.99429261616095,83.66537103732921,0.9999999999999996,0.10000000000000142
1756276796.397244,0,0.02108720078542353,-0.04928136021277422,-0.5574230921909572,-0.9998270613064145,-0.01842350444913748,0.002534159267327191,-0.01808724739782232,0.9316666662588252,-0.36286371334667383,0.004324229520913362,-0.3628467961357516,-0.9318387755256116,178.96361085672103,0.24776087334345367,-158.72466061528655,178.96361085672103,0.24776087334345367,-158.72466061528655,79.00842302380757,0.9999999999999996,0.10000000000000142
1756276796.4292068,0,0.023009410808679017,-0.05236309810022072,-0.5682844733358796,-0.9997032619316139,-0.02107118930581253,0.012222645561831669,-0.024041152146098078,0.9343088453064211,-0.3556529271434025,-0.0039256957064596155,-0.3558412378623658,-0.9345381759723889,178.62240010593078,-0.22492637336192983,-159.1548211830469,178.62240010593078,-0.22492637336192983,-159.1548211830469,83.00014547111589,0.9999999999999996,0.10000000000000142
1756276796.4612236,0,0.026432760336391057,-0.050594433186055686,-0.572516292294781,-0.9990094106106887,-0.021332917284139843,0.039052581879211,-0.03324499909060061,0.9411585431167081,-0.3363262802010894,-0.0295798503503719,-0.3372914220056356,-0.9409354542659479,178.09401648732793,-1.6950478303184915,-160.27907451899395,178.09401648732793,-1.6950478303184915,-160.27907451899395,87.46649821001455,0.9999999999999996,0.10000000000000142
1756276796.4991703,0,0.02699280778688347,-0.05091757675109761,-0.579163601424169,-0.9984299527940373,-0.019773352273871198,0.05240843351551425,-0.03554356813538063,0.94677547185144,-0.3199263363099218,-0.04329300322110073,-0.3212868195870117,-0.9459918051609967,177.96116213039096,-2.481281883571314,-161.24099212662856,177.96116213039096,-2.481281883571314,-161.24099212662856,89.70872568035614,0.9999999999999996,0.10000000000000142
1756276796.5462554,0,0.027841583690104702,-0.051050979672523075,-0.5791789197874214,-0.997762685073126,-0.01564466854122839,0.06499898939138356,-0.03471059978858995,0.9521516560999499,-0.3036484777640738,-0.05713841560616144,-0.3052252743996767,-0.9505644288156694,178.00757315273947,-3.27557406202367,-162.19822825811758,178.00757315273947,-3.27557406202367,-162.19822825811758,86.69120498959376,0.9999999999999996,0.10000000000000142
1756276796.5787017,0,0.025779426361498572,-0.0503969946773531,-0.578602327576372,-0.9981595857167531,-0.013814617567139606,0.059047419784723484,-0.03044309774507365,0.9562707519480764,-0.2908942535842606,-0.05244672765238617,-0.2921564740171504,-0.9549313773504473,178.25306443600988,-3.006355462653147,-162.98877113739982,178.25306443600988,-3.006355462653147,-162.98877113739982,90.03683090295044,0.9999999999999996,0.10000000000000142
1756276796.612473,0,0.02654609884636836,-0.0486595425529352,-0.5758400529465965,-0.9979337315477398,-0.0141659438657265,0.06267051518534883,-0.031165488793818308,0.9596870987910379,-0.2793374030134225,-0.05618700692728114,-0.28071337418875136,-0.958145616179566,178.21123313712957,-3.220974637410184,-163.6706981800141,178.21123313712957,-3.220974637410184,-163.6706981800141,86.97613221700604,0.9999999999999996,0.10000000000000142
1756276796.641811,0,0.027093332754115903,-0.048609342161088163,-0.58201506536656,-0.9980057977590879,-0.014003056457948368,0.06154950892640639,-0.02964616773846321,0.9648304896308115,-0.26119577143819017,-0.05572730369997433,-0.26249960131132366,-0.9633215594668931,178.2985059435196,-3.1945942488618795,-164.75730807980574,178.2985059435196,-3.1945942488618795,-164.75730807980574,91.20828443160934,0.9999999999999996,0.10000000000000142
1756276796.6738846,0,0.02884227543517275,-0.047996320881864875,-0.5884828942441497,-0.9969220572337258,-0.010163042706502921,0.07773753510255925,-0.028369604489935953,0.9711303384097942,-0.23685656284165546,-0.0730860954078164,-0.23833291502229453,-0.9684295763115742,178.3699627938783,-4.191261795518044,-166.17412428906215,178.3699627938783,-4.191261795518044,-166.17412428906215,95.99107740575559,0.9999999999999996,0.10000000000000142
