Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173942.1636105,-62.73103624259132,-132.79579270657308,-642.3606933750818,-0.9097043488992637,0.101517991520756,-0.40265629883482335,0.24039884165910294,0.9193940115525393,-0.3113246672692197,0.33859473493060754,-0.3800115115610585,-0.8607815382304334,-156.17985275397564,-19.791280840471703,165.19737517691837
1755173942.2137804,-63.60596918199888,-134.4653479276668,-644.770097599691,-0.919628253130762,0.08860652468321813,-0.3826653365895916,0.2376327683577103,0.9012174226706532,-0.36240560767945645,0.31275316696448335,-0.4242122592033704,-0.8498408178566493,-153.47315599003733,-18.225227696470274,165.51163740093375
1755173942.2598023,-63.99466579047065,-135.23857214505716,-646.9884632469076,-0.9172593996885688,0.0862153195621693,-0.3888471580914014,0.22993719424956752,0.9117923156663408,-0.3402405910417628,0.3252138994317478,-0.4014993048121061,-0.8561741807902131,-154.87596721781108,-18.978534520914852,165.92717491725094
1755173942.3079448,-63.62905432395354,-136.77035019959374,-649.9742934115061,-0.9277497472430246,0.07513187040184895,-0.36556204472076115,0.2233490682055596,0.8965222158320207,-0.38257431990575724,0.29899097013490605,-0.43658117065393937,-0.848528892382707,-152.77348266908763,-17.39700853775206,166.4640323202919
1755173942.3520865,-62.985968065640144,-137.50350596984094,-652.861333363918,-0.9296190416205748,0.06861556608160649,-0.3620778114545887,0.21135879629641083,0.9041299011740817,-0.37131735891428175,0.3018872251099346,-0.42171201772565825,-0.8549988756841601,-153.74605260729845,-17.5709895559108,167.19094345586817
1755173942.3983443,-61.90172417363234,-137.87088614638824,-653.5570317069399,-0.9354690824138472,0.06262828060260778,-0.3478150288825309,0.21052873570800218,0.8892422251508071,-0.40611071944733457,0.28385779413111933,-0.45312908037070687,-0.845043661140306,-151.79891282140312,-16.49058554708513,167.31680708534887
1755173942.446939,-61.640118752880916,-133.96787249516933,-652.8555360056768,-0.9165495477294288,0.06851745672787769,-0.3940079754021777,0.1974280021214186,0.9343129190530619,-0.29678536565823355,0.3477917631792403,-0.3498067000703241,-0.8698713479880721,-158.09315846247875,-20.352308829902903,167.84402297624686
1755173942.4947171,-61.95152939666427,-130.90376586682518,-651.0486554903179,-0.9141176223736389,0.07938232442338303,-0.3976020863062793,0.2040183859055936,0.9375080582032117,-0.2818778796154811,0.3503790385831343,-0.33878767299473006,-0.8731880908191397,-158.7942776191864,-20.51050055431467,167.41857347534093
1755173942.5398614,-62.8402408995816,-128.47058315525717,-650.229056063211,-0.9059505512222633,0.08115220281327526,-0.4155332943563369,0.19500624005833553,0.9511359294482917,-0.2394013576629114,0.37580069861349097,-0.29791737728955564,-0.8775073055140479,-161.2474365255662,-22.073809542782936,167.85240625337212
1755173942.5875683,-64.27493875455458,-127.0408736790778,-649.9727548916145,-0.8986680692069384,0.08321082369602482,-0.43066420818045986,0.19653533983908372,0.9541535678715092,-0.22575391272889367,0.3921346217591725,-0.2875185693792631,-0.873821212079389,-161.78693723809656,-23.08738716651455,167.66385157733225
